round,round_number,stage,match_status,player_1,player_2,player_1_country,player_2_country,seed_1,seed_2,seed_diff,upset,score,winner,sets_won_p1,sets_won_p2,games_won_p1,games_won_p2,sets_played,tiebreaks_played,straight_sets_win,comeback_win,deciding_set,match_date,match_month,match_day_of_week
F,7,Main Draw,completed,Carlos Alcaraz,Novak Djokovic,ES,RS,1,4,3.0,False,2–6 6–2 6–3 7–5,Carlos Alcaraz,3.0,1.0,21.0,16.0,4.0,0.0,False,True,False,2026-02-01,2,Sunday
SF,6,Main Draw,completed,Carlos Alcaraz,Alexander Zverev,ES,DE,1,3,2.0,False,6–4 7–6 6–7 6–7 7–5,Carlos Alcaraz,3.0,2.0,32.0,29.0,5.0,2.0,False,False,True,2026-01-30,1,Friday
SF,6,Main Draw,completed,Novak Djokovic,Jannik Sinner,RS,IT,4,2,2.0,True,3–6 6–3 4–6 6–4 6–4,Novak Djokovic,3.0,2.0,25.0,23.0,5.0,0.0,False,True,True,2026-01-30,1,Friday
QF,5,Main Draw,completed,Carlos Alcaraz,Alex de Minaur,ES,AU,1,6,5.0,False,7–5 6–2 6–1,Carlos Alcaraz,3.0,0.0,19.0,8.0,3.0,0.0,True,False,False,2026-01-27,1,Tuesday
QF,5,Main Draw,completed,Alexander Zverev,Learner Tien,DE,US,3,25,22.0,False,6–3 6–7 6–1 7–6,Alexander Zverev,3.0,1.0,25.0,17.0,4.0,1.0,False,False,False,2026-01-27,1,Tuesday
QF,5,Main Draw,completed,Lorenzo Musetti,Novak Djokovic,IT,RS,5,4,1.0,False,6–4 6–3 1–3,Novak Djokovic,2.0,1.0,13.0,10.0,3.0,0.0,False,False,False,2026-01-28,1,Wednesday
QF,5,Main Draw,completed,Ben Shelton,Jannik Sinner,US,IT,8,2,6.0,False,3–6 4–6 4–6,Jannik Sinner,0.0,3.0,11.0,18.0,3.0,0.0,True,False,False,2026-01-28,1,Wednesday
R16,4,Main Draw,completed,Carlos Alcaraz,Tommy Paul,ES,US,1,19,18.0,False,7–6 6–4 7–5,Carlos Alcaraz,3.0,0.0,20.0,15.0,3.0,0.0,True,False,False,2026-01-25,1,Sunday
R16,4,Main Draw,completed,Alexander Bublik,Alex de Minaur,KZ,AU,10,6,4.0,False,4–6 1–6 1–6,Alex de Minaur,0.0,3.0,6.0,18.0,3.0,0.0,True,False,False,2026-01-25,1,Sunday
R16,4,Main Draw,completed,Alexander Zverev,Francisco Cerundolo,DE,AR,3,18,15.0,False,6–2 6–4 6–4,Alexander Zverev,3.0,0.0,18.0,10.0,3.0,0.0,True,False,False,2026-01-25,1,Sunday
R16,4,Main Draw,completed,Daniil Medvedev,Learner Tien,RU,US,11,25,14.0,True,4–6 0–6 3–6,Learner Tien,0.0,3.0,7.0,18.0,3.0,0.0,True,False,False,2026-01-25,1,Sunday
R16,4,Main Draw,completed,Lorenzo Musetti,Taylor Fritz,IT,US,5,9,4.0,False,6–2 7–5 6–4,Lorenzo Musetti,3.0,0.0,19.0,11.0,3.0,0.0,True,False,False,2026-01-26,1,Monday
R16,4,Main Draw,completed,Jakub Mensik,Novak Djokovic,CZ,RS,16,4,12.0,False,,Novak Djokovic,,,,,,,,,,2026-01-26,1,Monday
R16,4,Main Draw,completed,Ben Shelton,Casper Ruud,US,NO,8,12,4.0,False,3–6 6–4 6–3 6–4,Ben Shelton,3.0,1.0,21.0,17.0,4.0,0.0,False,True,False,2026-01-26,1,Monday
