year,attendance,note
1987,140089,
1988,244859,
1989,289023,
1990,312000,
1991,305048,
1992,329034,
1993,322074,
1994,332926,
1995,311678,
1996,389598,
1997,391504,
1998,434807,
1999,473296,
2000,501251,
2001,543834,
2002,518248,
2003,512225,
2004,521691,
2005,543873,
2006,550550,
2007,554858,
2008,605735,
2009,603160,
2010,653860,
2011,651127,
2012,686006,
2013,684457,
2014,643280,
2015,703899,
2016,720363,
2017,728763,
2018,743667,
2019,796435,
2020,812174,
2021,130374,COVID restricted
2022,346468,COVID restricted
2023,902312,
2024,1110657,
2025,1218831,
2026,1368043,
