player,state,state_abbr,gender
Alex de Minaur,New South Wales,NSW,M
Alexei Popyrin,New South Wales,NSW,M
James Duckworth,New South Wales,NSW,M
Rinky Hijikata,New South Wales,NSW,M
Aleksandar Vukic,New South Wales,NSW,M
Jordan Thompson,New South Wales,NSW,M
Max Purcell,New South Wales,NSW,M
John Millman,Queensland,QLD,M
Bernard Tomic,Queensland,QLD,M
Dane Sweeny,Queensland,QLD,M
Ashleigh Barty,Queensland,QLD,F
Priscilla Hon,Queensland,QLD,F
Pat Rafter,Queensland,QLD,M
Lleyton Hewitt,Victoria,VIC,M
Pat Cash,Victoria,VIC,M
Nick Kyrgios,Australian Capital Territory,ACT,M
Thanasi Kokkinakis,South Australia,SA,M
Adam Walton,South Australia,SA,M
Talia Gibson,Western Australia,WA,F
