year,champion,country,runner_up
1969,Margaret Court,AUS,Billie Jean King
1970,Margaret Court,AUS,Kerry Melville
1971,Margaret Court,AUS,Evonne Goolagong
1972,Virginia Wade,GBR,Evonne Goolagong
1973,Margaret Court,AUS,Evonne Goolagong
1974,Evonne Goolagong,AUS,Chris Evert
1975,Evonne Goolagong,AUS,Martina Navratilova
1976,Evonne Goolagong,AUS,Renata Tomanova
1977,Kerry Melville Reid,AUS,Dianne Fromholtz
1978,Chris O'Neil,AUS,Betsy Nagelsen
1979,Barbara Jordan,USA,Sharon Walsh
1980,Hana Mandlikova,TCH,Wendy Turnbull
1981,Martina Navratilova,USA,Chris Evert
1982,Chris Evert,USA,Martina Navratilova
1983,Martina Navratilova,USA,Kathy Jordan
1984,Chris Evert,USA,Helena Sukova
1985,Martina Navratilova,USA,Chris Evert
1987,Hana Mandlikova,TCH,Martina Navratilova
1988,Steffi Graf,GER,Chris Evert
1989,Steffi Graf,GER,Helena Sukova
1990,Steffi Graf,GER,Mary Joe Fernandez
1991,Monica Seles,YUG,Jana Novotna
1992,Monica Seles,YUG,Mary Joe Fernandez
1993,Monica Seles,YUG,Steffi Graf
1994,Steffi Graf,GER,Arantxa Sanchez Vicario
1995,Mary Pierce,FRA,Arantxa Sanchez Vicario
1996,Monica Seles,USA,Anke Huber
1997,Martina Hingis,SUI,Mary Pierce
1998,Martina Hingis,SUI,Conchita Martinez
1999,Martina Hingis,SUI,Amelie Mauresmo
2000,Lindsay Davenport,USA,Martina Hingis
2001,Jennifer Capriati,USA,Martina Hingis
2002,Jennifer Capriati,USA,Martina Hingis
2003,Serena Williams,USA,Venus Williams
2004,Justine Henin,BEL,Kim Clijsters
2005,Serena Williams,USA,Lindsay Davenport
2006,Amelie Mauresmo,FRA,Justine Henin
2007,Serena Williams,USA,Maria Sharapova
2008,Maria Sharapova,RUS,Ana Ivanovic
2009,Serena Williams,USA,Dinara Safina
2010,Serena Williams,USA,Justine Henin
2011,Kim Clijsters,BEL,Li Na
2012,Victoria Azarenka,BLR,Maria Sharapova
2013,Victoria Azarenka,BLR,Li Na
2014,Li Na,CHN,Dominika Cibulkova
2015,Serena Williams,USA,Maria Sharapova
2016,Angelique Kerber,GER,Serena Williams
2017,Serena Williams,USA,Venus Williams
2018,Caroline Wozniacki,DEN,Simona Halep
2019,Naomi Osaka,JPN,Petra Kvitova
2020,Sofia Kenin,USA,Garbine Muguruza
2021,Naomi Osaka,JPN,Jennifer Brady
2022,Ashleigh Barty,AUS,Danielle Collins
2023,Aryna Sabalenka,BLR,Elena Rybakina
2024,Aryna Sabalenka,BLR,Zheng Qinwen
2025,Madison Keys,USA,Aryna Sabalenka
2026,Elena Rybakina,KAZ,Aryna Sabalenka
